,accuracy,loss,val_accuracy,val_loss
mobilenet_v2,"[0.4077988266944885, 0.5690597891807556, 0.6065962314605713, 0.6275510191917419, 0.6434645056724548, 0.6473518013954163, 0.6577380895614624, 0.6646015644073486, 0.6700072884559631, 0.6693391799926758, 0.680757999420166, 0.6777210831642151, 0.6894436478614807, 0.6873177886009216, 0.6867711544036865, 0.6859815120697021, 0.6930271983146667, 0.6958211660385132, 0.6932701468467712, 0.700862467288971, 0.7000728845596313, 0.7077866792678833, 0.7049927115440369, 0.7116739749908447, 0.7103376984596252]","[2.401301145553589, 1.5399028062820435, 1.3934741020202637, 1.3068677186965942, 1.2475582361221313, 1.229058861732483, 1.1844770908355713, 1.158787727355957, 1.1428614854812622, 1.1308691501617432, 1.1061317920684814, 1.1062493324279785, 1.063029170036316, 1.0730146169662476, 1.0756337642669678, 1.0662909746170044, 1.0474650859832764, 1.037533164024353, 1.0426092147827148, 1.023474931716919, 1.0272550582885742, 1.006725788116455, 1.0214390754699707, 0.9824309945106506, 0.9919652938842773]","[0.7512147426605225, 0.771136999130249, 0.7823129296302795, 0.7956753969192505, 0.7903304100036621, 0.794460654258728, 0.7971331477165222, 0.7898445129394531, 0.7978619933128357, 0.7810981273651123, 0.7864431738853455, 0.7896015644073486, 0.7990767955780029, 0.7937317490577698, 0.7876579165458679, 0.794946551322937, 0.7961612939834595, 0.7842565774917603, 0.7925170063972473, 0.7995626926422119, 0.7966472506523132, 0.7913022637367249, 0.7934888005256653, 0.7930029034614563, 0.7932458519935608]","[0.7964579463005066, 0.7151258587837219, 0.7003634572029114, 0.649760901927948, 0.6655439734458923, 0.6481840014457703, 0.6543934941291809, 0.6760779023170471, 0.662247359752655, 0.6849201321601868, 0.6927602291107178, 0.6930466294288635, 0.671401858329773, 0.6656489968299866, 0.6787169575691223, 0.6656210422515869, 0.6788792014122009, 0.6939401030540466, 0.6907575726509094, 0.6731163859367371, 0.6601609587669373, 0.6878897547721863, 0.6810919642448425, 0.7037103772163391, 0.6866093873977661]"
mobilenet_v3,"[0.4483722150325775, 0.614188551902771, 0.6443148851394653, 0.666363000869751, 0.6748056411743164, 0.6869533658027649, 0.7038994431495667, 0.6997084617614746, 0.7091836929321289, 0.7191448211669922, 0.7153182625770569, 0.7219387888908386, 0.7250364422798157, 0.7327502369880676, 0.7341472506523132, 0.7384596467018127, 0.736637532711029, 0.743257999420166, 0.7523080706596375, 0.7495748400688171, 0.7563168406486511, 0.7547983527183533]","[2.226910352706909, 1.3827497959136963, 1.2487683296203613, 1.1645570993423462, 1.1209601163864136, 1.0708835124969482, 1.0138336420059204, 1.00565505027771, 0.9819764494895935, 0.9611096382141113, 0.9509638547897339, 0.9299764633178711, 0.9111044406890869, 0.8972024321556091, 0.897625207901001, 0.8784047365188599, 0.8816301822662354, 0.8565447330474854, 0.8348709344863892, 0.8460174202919006, 0.8231090903282166, 0.8376128077507019]","[0.7759960889816284, 0.7990767955780029, 0.7925170063972473, 0.7922740578651428, 0.8019922375679016, 0.806851327419281, 0.8092808723449707, 0.8027210831642151, 0.795918345451355, 0.8066083788871765, 0.807823121547699, 0.8100097179412842, 0.7995626926422119, 0.7981049418449402, 0.8058794736862183, 0.8002915382385254, 0.8061224222183228, 0.8053935766220093, 0.8049076795578003, 0.8090379238128662, 0.8056365251541138, 0.8070942759513855]","[0.7055169343948364, 0.6408311724662781, 0.6441500186920166, 0.6328954696655273, 0.6330121159553528, 0.6274057626724243, 0.6169074773788452, 0.64276123046875, 0.6373253464698792, 0.6382070183753967, 0.6341999173164368, 0.6360844373703003, 0.6499454379081726, 0.6649868488311768, 0.6574041843414307, 0.6719924211502075, 0.639574408531189, 0.6511408090591431, 0.6632589101791382, 0.6659989356994629, 0.6708343029022217, 0.6601872444152832]"
inception_v3,"[0.4811103045940399, 0.5931729674339294, 0.6155247688293457, 0.6277939677238464, 0.6315597891807556, 0.6361758708953857, 0.6434037685394287, 0.6418853402137756, 0.6437074542045593, 0.6527575254440308, 0.6537901163101196, 0.6576773524284363, 0.6577988266944885, 0.6587098836898804, 0.665269672870636, 0.6531826853752136, 0.6643586158752441, 0.658527672290802, 0.666241466999054, 0.6692177057266235, 0.6674562692642212, 0.6641156673431396, 0.6640549302101135, 0.6675777435302734, 0.6686710119247437]","[2.2278099060058594, 1.576776146888733, 1.4610284566879272, 1.400549292564392, 1.3767719268798828, 1.3471453189849854, 1.310935378074646, 1.315056324005127, 1.3150132894515991, 1.2722243070602417, 1.2775057554244995, 1.2654372453689575, 1.2549575567245483, 1.2532076835632324, 1.2393672466278076, 1.2696436643600464, 1.2428869009017944, 1.2360193729400635, 1.2194621562957764, 1.2025346755981445, 1.2229993343353271, 1.2191718816757202, 1.2247984409332275, 1.217573642730713, 1.205173373222351]","[0.7840136289596558, 0.7900874614715576, 0.7893586158752441, 0.7961612939834595, 0.7947036027908325, 0.7956753969192505, 0.8000485897064209, 0.794946551322937, 0.8019922375679016, 0.8000485897064209, 0.8005344867706299, 0.8002915382385254, 0.7913022637367249, 0.7966472506523132, 0.806365430355072, 0.7937317490577698, 0.8019922375679016, 0.806365430355072, 0.8034499287605286, 0.7995626926422119, 0.8036928772926331, 0.8017492890357971, 0.8015063405036926, 0.7932458519935608, 0.8000485897064209]","[0.7621997594833374, 0.7323457598686218, 0.7110169529914856, 0.6905370354652405, 0.7139644622802734, 0.7136002779006958, 0.6927741765975952, 0.6984060406684875, 0.6935305595397949, 0.6933473348617554, 0.6963474154472351, 0.7015188932418823, 0.7067246437072754, 0.7070478200912476, 0.701629638671875, 0.7130520343780518, 0.7076207995414734, 0.7037312984466553, 0.69483482837677, 0.6956377029418945, 0.7037252187728882, 0.7024826407432556, 0.6978833079338074, 0.720466673374176, 0.7146779298782349]"
efficientnet_v2,"[0.25060737133026123, 0.4050048589706421, 0.4332483112812042, 0.4620991349220276, 0.47898444533348083, 0.48845967650413513, 0.4986637532711029, 0.5051020383834839, 0.5113581418991089, 0.5063775777816772, 0.5168246030807495, 0.5216229557991028, 0.5290330648422241, 0.5313411355018616, 0.5352283716201782, 0.5372327566146851, 0.5352891087532043, 0.5389941930770874, 0.5453109741210938, 0.5439140200614929, 0.5485908389091492, 0.5436710119247437, 0.5507774353027344, 0.5487123131752014]","[3.1650030612945557, 2.304302930831909, 2.143460512161255, 2.035905599594116, 1.9559801816940308, 1.904664397239685, 1.8525073528289795, 1.838248610496521, 1.8029584884643555, 1.8063838481903076, 1.7831393480300903, 1.7567740678787231, 1.723276138305664, 1.704013705253601, 1.6869702339172363, 1.6888504028320312, 1.706647515296936, 1.6849037408828735, 1.6608597040176392, 1.661072015762329, 1.6491665840148926, 1.663574457168579, 1.6356942653656006, 1.6432006359100342]","[0.6537901163101196, 0.6909620761871338, 0.7086977362632751, 0.6848882436752319, 0.7142857313156128, 0.7057822942733765, 0.7099125385284424, 0.7150145769119263, 0.7184159159660339, 0.7167152762413025, 0.7106413841247559, 0.7208454608917236, 0.7225461602210999, 0.7259474992752075, 0.7210884094238281, 0.7227891087532043, 0.717444121837616, 0.7191448211669922, 0.7240039110183716, 0.717444121837616, 0.7213314175605774, 0.7235179543495178, 0.7184159159660339, 0.7235179543495178]","[1.168776035308838, 1.0127744674682617, 0.990597128868103, 0.9997404217720032, 0.9352433085441589, 0.9503095746040344, 0.948817253112793, 0.9399116635322571, 0.9368477463722229, 0.9427679777145386, 0.947211742401123, 0.9304112195968628, 0.917125940322876, 0.9274722933769226, 0.9253807067871094, 0.9265545010566711, 0.926516056060791, 0.939023494720459, 0.9519438147544861, 0.952506959438324, 0.9498105645179749, 0.9283761382102966, 0.9363017082214355, 0.948136568069458]"
resnet_v250,"[0.36133381724357605, 0.49586978554725647, 0.5302478075027466, 0.550109326839447, 0.556243896484375, 0.5741618275642395, 0.576469898223877, 0.5822400450706482, 0.5855806469917297, 0.5891035199165344, 0.5963921546936035, 0.6006438136100769, 0.5962706804275513, 0.6016764044761658, 0.6109086275100708, 0.6161321401596069, 0.6119412183761597, 0.6098153591156006, 0.6132774353027344, 0.6102405190467834, 0.6169217824935913, 0.6189261674880981, 0.618865430355072, 0.6163144111633301, 0.6225704550743103]","[2.6362922191619873, 1.8835376501083374, 1.722140908241272, 1.6477429866790771, 1.5924317836761475, 1.5422362089157104, 1.5161502361297607, 1.496023416519165, 1.4769078493118286, 1.4707101583480835, 1.447750449180603, 1.419354796409607, 1.4234578609466553, 1.4220656156539917, 1.4000425338745117, 1.3893024921417236, 1.3941069841384888, 1.3908551931381226, 1.3854566812515259, 1.3690109252929688, 1.360361099243164, 1.3593252897262573, 1.373384952545166, 1.3586758375167847, 1.351128101348877]","[0.6834304928779602, 0.704567551612854, 0.7021380066871643, 0.7155004739761353, 0.7300777435302734, 0.717444121837616, 0.7303206920623779, 0.7142857313156128, 0.7276481986045837, 0.7196307182312012, 0.7215743660926819, 0.7186588644981384, 0.7249757051467896, 0.7232750058174133, 0.7240039110183716, 0.7303206920623779, 0.7312925457954407, 0.7320213913917542, 0.7305636405944824, 0.7266764044761658, 0.7315354943275452, 0.738095223903656, 0.725218653678894, 0.7351797819137573, 0.7237609624862671]","[1.0533945560455322, 0.9638617634773254, 0.9494917988777161, 0.9391369819641113, 0.8962469696998596, 0.9118377566337585, 0.8919141292572021, 0.9198732376098633, 0.9087709188461304, 0.9274558424949646, 0.9139685034751892, 0.9288667440414429, 0.9225530028343201, 0.9109125733375549, 0.9349647164344788, 0.9103102684020996, 0.9100983738899231, 0.9242455959320068, 0.9111847281455994, 0.9165865778923035, 0.9160254597663879, 0.9164008498191833, 0.9245941638946533, 0.9032710194587708, 0.9154165387153625]"
