,accuracy,loss,val_accuracy,val_loss
mobilenet_v2,"[0.5782920122146606, 0.7547376155853271, 0.7926384806632996, 0.8186953067779541, 0.8369169235229492, 0.847606897354126, 0.862609326839447, 0.8718416094779968, 0.8788872957229614, 0.88532555103302, 0.8855077624320984, 0.8916423916816711, 0.8926141858100891, 0.902878999710083, 0.9097424745559692, 0.9057337045669556, 0.9090743660926819, 0.9103498458862305, 0.9150874614715576, 0.917334794998169, 0.9206146597862244, 0.9208576083183289, 0.919460654258728, 0.9244412183761597, 0.9274781346321106, 0.9238338470458984, 0.9304543137550354, 0.9248663783073425, 0.9286928772926331, 0.9304543137550354, 0.9339771866798401, 0.9335519671440125]","[1.6279829740524292, 0.8161433339118958, 0.6737921833992004, 0.5749157071113586, 0.5163266658782959, 0.4673042893409729, 0.42438462376594543, 0.40075966715812683, 0.3612861931324005, 0.35106053948402405, 0.3530931770801544, 0.32604122161865234, 0.31752076745033264, 0.29737386107444763, 0.2792283892631531, 0.29190945625305176, 0.27866995334625244, 0.2716014087200165, 0.2570246458053589, 0.24809537827968597, 0.2514137327671051, 0.24517154693603516, 0.2469811588525772, 0.2400253266096115, 0.2290540635585785, 0.23145952820777893, 0.22890858352184296, 0.2406662404537201, 0.2219843715429306, 0.2222146987915039, 0.20826151967048645, 0.21337135136127472]","[0.7796404361724854, 0.7993197441101074, 0.8012633919715881, 0.8007774353027344, 0.7947036027908325, 0.7993197441101074, 0.8012633919715881, 0.7973760962486267, 0.7971331477165222, 0.8024781346321106, 0.8010203838348389, 0.8032069802284241, 0.8024781346321106, 0.7981049418449402, 0.8012633919715881, 0.8012633919715881, 0.8046647310256958, 0.7922740578651428, 0.8024781346321106, 0.7966472506523132, 0.8012633919715881, 0.806851327419281, 0.7988338470458984, 0.8036928772926331, 0.7930029034614563, 0.7981049418449402, 0.806365430355072, 0.8051506280899048, 0.7985908389091492, 0.7961612939834595, 0.8000485897064209, 0.7930029034614563]","[0.6951865553855896, 0.6478466987609863, 0.6506364941596985, 0.6709959506988525, 0.6987262964248657, 0.699521005153656, 0.6979385614395142, 0.7444343566894531, 0.7848795056343079, 0.7859389781951904, 0.7986406087875366, 0.7820535898208618, 0.8365235328674316, 0.8299791216850281, 0.8719470500946045, 0.8796159029006958, 0.8704673647880554, 0.9164232015609741, 0.9142126441001892, 0.9559047818183899, 0.9491593241691589, 0.9612588286399841, 0.9803481101989746, 0.9920045733451843, 1.0126311779022217, 1.0383979082107544, 1.0129083395004272, 0.9788591861724854, 1.030135989189148, 1.0571422576904297, 1.0653390884399414, 1.085288166999817]"
mobilenet_v3,"[0.5984572172164917, 0.7646987438201904, 0.8095845580101013, 0.8349732756614685, 0.8448736667633057, 0.8699586987495422, 0.88016277551651, 0.8869655132293701, 0.8918246030807495, 0.8960762619972229, 0.9040330648422241, 0.9101676344871521, 0.9167274236679077, 0.9180636405944824, 0.9180029034614563, 0.9228012561798096]","[1.6213033199310303, 0.7897047400474548, 0.6169355511665344, 0.5224794149398804, 0.47135278582572937, 0.3984406292438507, 0.36664071679115295, 0.34366580843925476, 0.3200129270553589, 0.3112035095691681, 0.2850460112094879, 0.2766248285770416, 0.25533613562583923, 0.252954363822937, 0.2507771849632263, 0.23218300938606262]","[0.7767249941825867, 0.8022351861000061, 0.8039358854293823, 0.8051506280899048, 0.8126822113990784, 0.8153547048568726, 0.8126822113990784, 0.8090379238128662, 0.8085519671440125, 0.806851327419281, 0.806851327419281, 0.7971331477165222, 0.8095238208770752, 0.8029640316963196, 0.8104956150054932, 0.8046647310256958]","[0.7096567153930664, 0.637161135673523, 0.6352912783622742, 0.6463655829429626, 0.6457387208938599, 0.6944528222084045, 0.7006323933601379, 0.7326614856719971, 0.7572547793388367, 0.7353063821792603, 0.7811816334724426, 0.7908795475959778, 0.8130086064338684, 0.8313599824905396, 0.8540578484535217, 0.8883127570152283]"
inception_v3,"[0.6485665440559387, 0.7634232044219971, 0.7937925457954407, 0.8079445958137512, 0.8177235126495361, 0.8241618275642395, 0.8374028205871582, 0.8434766530990601, 0.8527089357376099, 0.8548955321311951, 0.8581146597862244, 0.8648566603660583, 0.870809018611908, 0.8747570514678955, 0.8759110569953918, 0.8809523582458496, 0.8863581418991089, 0.8838071227073669]","[1.478448510169983, 0.8673978447914124, 0.723314642906189, 0.6501572728157043, 0.6142509579658508, 0.5600296258926392, 0.5298881530761719, 0.49674826860427856, 0.4769675135612488, 0.4521577060222626, 0.4438283145427704, 0.42146122455596924, 0.4098954200744629, 0.4023403823375702, 0.3867356479167938, 0.3750218451023102, 0.3589957654476166, 0.3692649304866791]","[0.7920311093330383, 0.8075801730155945, 0.8056365251541138, 0.807823121547699, 0.7951894998550415, 0.8066083788871765, 0.8046647310256958, 0.8095238208770752, 0.8039358854293823, 0.795918345451355, 0.8049076795578003, 0.8056365251541138, 0.8085519671440125, 0.8015063405036926, 0.8012633919715881, 0.8022351861000061, 0.8046647310256958, 0.8066083788871765]","[0.7399582862854004, 0.6882001161575317, 0.716617226600647, 0.7325431704521179, 0.7600598335266113, 0.7488042116165161, 0.7529741525650024, 0.7767670154571533, 0.785422146320343, 0.8295693397521973, 0.7958984375, 0.7999659180641174, 0.8499298095703125, 0.8566004633903503, 0.886529803276062, 0.8970203399658203, 0.9320799112319946, 0.9332234263420105]"
efficientnet_v2,"[0.5021865963935852, 0.6625971794128418, 0.7054786086082458, 0.7332361340522766, 0.748420774936676, 0.7594752311706543, 0.7719873785972595, 0.7872934937477112, 0.7953109741210938, 0.8087341785430908, 0.8116496801376343, 0.8193027377128601, 0.8268950581550598, 0.8293246030807495, 0.8349125385284424, 0.845541775226593, 0.844569981098175, 0.8474854230880737, 0.8570213913917542, 0.8560495376586914, 0.8586005568504333, 0.8632166981697083, 0.865646243095398, 0.8689869046211243, 0.8674076795578003, 0.8784620761871338, 0.8834426403045654]","[1.945043683052063, 1.1642704010009766, 0.9870207905769348, 0.894019603729248, 0.8150326013565063, 0.7603587508201599, 0.7166909575462341, 0.6734795570373535, 0.6284219026565552, 0.5936164855957031, 0.577601969242096, 0.5494590401649475, 0.5236894488334656, 0.5188442468643188, 0.49729329347610474, 0.4758681654930115, 0.46459338068962097, 0.45155802369117737, 0.4344916045665741, 0.43189942836761475, 0.4246644377708435, 0.4126836061477661, 0.4151627719402313, 0.3965360224246979, 0.4025317430496216, 0.370559424161911, 0.3589089512825012]","[0.6941205263137817, 0.7196307182312012, 0.7315354943275452, 0.7312925457954407, 0.7337220311164856, 0.728863000869751, 0.7327502369880676, 0.728863000869751, 0.7351797819137573, 0.7320213913917542, 0.7295918464660645, 0.7310495376586914, 0.7361515760421753, 0.7356656789779663, 0.7400388717651367, 0.7315354943275452, 0.7451409101486206, 0.7332361340522766, 0.7291059494018555, 0.7363945841789246, 0.7332361340522766, 0.7368804812431335, 0.7322643399238586, 0.7237609624862671, 0.7278911471366882, 0.7349368333816528, 0.7320213913917542]","[1.0165507793426514, 0.9306210875511169, 0.9158462882041931, 0.9089797735214233, 0.9307411313056946, 0.9293823838233948, 0.9533302783966064, 0.9499683380126953, 0.9758316874504089, 0.9766797423362732, 1.017859935760498, 1.0131806135177612, 1.0306938886642456, 1.0538017749786377, 1.068403959274292, 1.0949732065200806, 1.1051267385482788, 1.1124625205993652, 1.1603798866271973, 1.1308717727661133, 1.1900259256362915, 1.169721245765686, 1.223201870918274, 1.258160948753357, 1.26667058467865, 1.2035990953445435, 1.283612608909607]"
resnet_v250,"[0.4967808425426483, 0.660592794418335, 0.6927842497825623, 0.722121000289917, 0.734997570514679, 0.7506681084632874, 0.769132673740387, 0.7741739749908447, 0.7848032116889954, 0.7873542308807373, 0.7956753969192505, 0.8029640316963196, 0.8101311922073364, 0.8126214742660522, 0.8176020383834839, 0.825862467288971, 0.8242833018302917, 0.8315719366073608, 0.8304178714752197]","[1.993773102760315, 1.1985684633255005, 1.049014925956726, 0.9266387224197388, 0.8621296882629395, 0.7995050549507141, 0.7559079527854919, 0.7197830080986023, 0.6796228289604187, 0.669557511806488, 0.6393232941627502, 0.6220345497131348, 0.5902667045593262, 0.5863478183746338, 0.5613831281661987, 0.5511555075645447, 0.534789502620697, 0.5141092538833618, 0.5284964442253113]","[0.6946064233779907, 0.7201166152954102, 0.7215743660926819, 0.725704550743103, 0.728863000869751, 0.7329931855201721, 0.7269193530082703, 0.7310495376586914, 0.7361515760421753, 0.7327502369880676, 0.7266764044761658, 0.7176870703697205, 0.7276481986045837, 0.7269193530082703, 0.7303206920623779, 0.7269193530082703, 0.726190447807312, 0.7356656789779663, 0.7259474992752075]","[1.0205200910568237, 0.9245609045028687, 0.9215327501296997, 0.9281532764434814, 0.9254292249679565, 0.9362490177154541, 0.9654467701911926, 0.9821577072143555, 0.9685543179512024, 0.9833713173866272, 1.0120176076889038, 1.047073483467102, 1.0583114624023438, 1.052680492401123, 1.062455415725708, 1.0791670083999634, 1.1060742139816284, 1.1326438188552856, 1.0910754203796387]"
